# 1:r 2:z 3:nm 4:na 5:Em 6:Ea
173.52 -65.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00
170.94 -73.14 0.00e+00 2.19e+07 0.00e+00 0.00e+00
168.48 -79.98 0.00e+00 2.37e+07 0.00e+00 0.00e+00
166.06 -86.59 0.00e+00 1.60e+08 0.00e+00 0.00e+00
164.70 -90.28 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.09 -91.96 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.55 -93.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.97 -95.01 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.50 -96.31 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.07 -97.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.60 -98.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.19 -99.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00
160.92 -100.71 0.00e+00 9.26e+09 0.00e+00 0.00e+00
160.74 -101.21 0.00e+00 9.26e+09 0.00e+00 0.00e+00

176.60 -57.45 0.00e+00 0.00e+00 0.00e+00 0.00e+00
174.06 -65.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00
171.54 -73.09 0.00e+00 2.19e+07 0.00e+00 0.00e+00
169.14 -79.90 0.00e+00 2.37e+07 0.00e+00 0.00e+00
166.79 -86.45 0.00e+00 1.60e+08 0.00e+00 0.00e+00
165.49 -90.09 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.89 -91.73 0.00e+00 0.00e+00 0.00e+00 0.00e+00
164.38 -93.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.83 -94.71 0.00e+00 0.00e+00 0.00e+00 0.00e+00
163.38 -95.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.97 -97.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.53 -98.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00
162.15 -99.45 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.89 -100.19 0.00e+00 0.00e+00 0.00e+00 0.00e+00
161.73 -100.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00

177.07 -57.42 0.00e+00 0.00e+00 0.00e+00 0.00e+00
